Date,Mintemp,Maxtemp,Precipitacion
30/01/2020,17.873,22.718,7.386
31/01/2020,17.826,20.795,13.225
01/02/2020,16.557,23.53,0
02/02/2020,16.711,26.168,3.765
03/02/2020,18.165,24.375,0
04/02/2020,17.516,23.365,0.069
05/02/2020,18.637,25.41,2.985
06/02/2020,17.798,24.011,3.069
07/02/2020,18.294,22.893,2.256
08/02/2020,18.287,22.258,6.263
09/02/2020,17.698,22.947,20.448
10/02/2020,17.952,25.95,0.198
11/02/2020,17.968,22.937,21.373
12/02/2020,17.306,23.139,38.925
13/02/2020,17.606,21.585,8.243
14/02/2020,18.777,20.024,18.085
15/02/2020,17.882,26.911,15.176
16/02/2020,17.873,25.483,3.025
17/02/2020,17.972,23.532,0.749
18/02/2020,18.438,24.817,5.601
19/02/2020,16.906,26.5,8.97
20/02/2020,17.927,25.17,7.163
21/02/2020,16.924,24.451,1.973
22/02/2020,17.651,26.258,0
23/02/2020,17.336,29.947,0
24/02/2020,18.675,22.645,34.668
25/02/2020,17.446,20.94,0.395
26/02/2020,16.331,23.239,0
27/02/2020,16.241,24.946,0
28/02/2020,17.908,23.42,15.092
29/02/2020,19.837,29.566,0
01/03/2020,17.335,24.391,0
02/03/2020,15.75,21.763,0
03/03/2020,14.574,25.001,4.355
04/03/2020,16.193,18.821,0.679
05/03/2020,15.949,20.825,0
06/03/2020,16.649,23.22,0
07/03/2020,14.739,26.099,0
08/03/2020,16.519,25.2,0
09/03/2020,15.612,25.599,0
10/03/2020,15.245,23.711,0
11/03/2020,16.046,26.366,4.578
12/03/2020,19.253,23.712,16.461
13/03/2020,18.574,24.855,0.158
14/03/2020,18.483,24.24,0
15/03/2020,18.965,27.981,0
16/03/2020,21.503,28.216,0
17/03/2020,15.347,23.237,0
18/03/2020,16.39,21.825,0.05
19/03/2020,17.797,26.431,0.175
20/03/2020,16.649,23.542,0
21/03/2020,18.069,26.364,0
22/03/2020,17.315,22.555,1.59
23/03/2020,15.663,23.27,6.352
24/03/2020,17.716,23.984,0
25/03/2020,16.328,27.544,2.236
26/03/2020,17.048,23.883,0.364
27/03/2020,17.674,23.876,0
28/03/2020,17.108,24.65,0
29/03/2020,15.478,23.552,0
30/03/2020,14.907,27.056,0
31/03/2020,14.316,24.535,0
01/04/2020,12.513,27.238,0
02/04/2020,13.171,23.394,0
03/04/2020,15.168,25.257,0.096
04/04/2020,14.98,20.658,0
05/04/2020,13.094,27.412,0
06/04/2020,14.991,22.595,0
07/04/2020,16.087,26.092,0.221
08/04/2020,17.263,23.382,0
09/04/2020,18.428,22.187,0
10/04/2020,16.238,23.171,0
11/04/2020,15.77,25.397,0
12/04/2020,15.615,27.302,0
13/04/2020,16.494,27.284,0
14/04/2020,16.706,25,0
15/04/2020,17.082,28.837,0
16/04/2020,18.088,23.183,0
17/04/2020,16.917,23.256,0
18/04/2020,15.93,26.421,0
19/04/2020,15.398,20.623,5.56
20/04/2020,13.355,24.642,0
21/04/2020,12.996,25.263,0
22/04/2020,13.039,24.93,0
23/04/2020,13.186,23.086,0.228
24/04/2020,12.67,22.86,0
25/04/2020,13.483,26.673,0
26/04/2020,16.485,26.483,0
27/04/2020,13.632,24.915,0
28/04/2020,15.125,21.509,0
29/04/2020,15.551,21.546,0
30/04/2020,16.514,22.374,0
01/05/2020,18.345,27.952,0
02/05/2020,16.188,26.505,0
03/05/2020,10.604,20.432,0
04/05/2020,10.628,26.741,0
05/05/2020,12.3,24.566,0
06/05/2020,12.49,23.567,0
07/05/2020,11.522,24.637,0
08/05/2020,12.141,22.779,0
09/05/2020,10.997,23.774,0
10/05/2020,12.457,21.687,0
11/05/2020,15.181,23.182,0
12/05/2020,10.581,24.766,0
13/05/2020,11.767,26.477,0
14/05/2020,18.663,27.07,0
15/05/2020,11.115,25.046,0
16/05/2020,8.322,25.938,0
17/05/2020,7.509,23.763,0
18/05/2020,8.78,22.265,0
19/05/2020,6.979,16.346,0
20/05/2020,8.382,23.429,0
21/05/2020,9.373,22.77,0
22/05/2020,9.04,15.106,0
23/05/2020,10.983,24.439,0
24/05/2020,8.798,24.374,0
25/05/2020,9.482,25.294,0
26/05/2020,14.02,24.831,0
27/05/2020,13.813,23.766,7.561
28/05/2020,14.812,21.665,0.804
29/05/2020,13.291,22.866,0
30/05/2020,16.28,22.573,0
31/05/2020,14.764,20.672,0
01/06/2020,9.086,21.536,0
02/06/2020,9.626,24.059,0
03/06/2020,11.831,22.717,0
04/06/2020,9.699,23.063,0
05/06/2020,10.98,22.993,0
06/06/2020,10.725,15.455,0
07/06/2020,8.553,22.205,0
08/06/2020,8.47,21.128,0
09/06/2020,8.5,17.698,0
10/06/2020,11.506,22.734,0
11/06/2020,10.845,22.735,0
12/06/2020,10.549,22.042,0
13/06/2020,12.514,19.196,0
14/06/2020,11.781,13.62,0
15/06/2020,12.029,15.368,0
16/06/2020,9.471,18.596,0
17/06/2020,11.652,15.921,0
18/06/2020,10.157,19.933,0
19/06/2020,8.811,15.848,0
20/06/2020,8.168,14.828,0
21/06/2020,8.011,24.133,0
22/06/2020,9.005,15.35,0
23/06/2020,9.728,15.294,0
24/06/2020,13.01,16.881,0
25/06/2020,11.966,14.57,0
26/06/2020,10.249,14.681,0
27/06/2020,10.49,18.443,0
28/06/2020,12.489,18.605,0
29/06/2020,12.362,23.385,0.588
30/06/2020,12.811,16.73,0.181
01/07/2020,10.787,12.262,0
02/07/2020,8.319,12.549,0
03/07/2020,5.097,24.676,0
04/07/2020,7.483,16.169,0
05/07/2020,9.908,14.599,0
06/07/2020,7.17,22.169,0
07/07/2020,10.171,17.999,0
08/07/2020,10.063,18.705,0
09/07/2020,12.348,16.358,0
10/07/2020,13.463,18.425,0
11/07/2020,12.295,17.486,0
12/07/2020,13.346,20.112,0
13/07/2020,7.861,13.611,0
14/07/2020,8.21,21.337,0
15/07/2020,8.18,25.03,0
16/07/2020,11.532,13.308,0
17/07/2020,7.725,14.856,0.862
18/07/2020,8.21,14.341,0
19/07/2020,8.563,17.143,0
20/07/2020,9.891,19.911,0
21/07/2020,9.706,17.266,0
22/07/2020,12.09,16.538,0
23/07/2020,8.971,20.422,0
24/07/2020,10.487,14.744,0
25/07/2020,8.708,14.758,0
26/07/2020,8.598,14.17,0
27/07/2020,7.78,18.185,0
28/07/2020,9.704,13.864,0
29/07/2020,7.437,20.922,0
30/07/2020,9.362,20.932,0
31/07/2020,10.556,15.377,0
01/08/2020,5.095,20.676,0
02/08/2020,8.776,24.265,0
03/08/2020,11.424,15.709,0
04/08/2020,12.008,22.692,0
05/08/2020,10.642,20.951,0
