Location,TST,Tag,plant,farm,tx2,month2,Time,Status,plantx,plantreal,season,plantx2,plantx3
MAZINGA,Plant,1,Ficus ingens,P1,plantpl,1,1,1,1,1,Rainy,1,1
MAZINGA,Plant,2,Ficus ingens,P1,plantpl,1,1,1,1,1,Rainy,1,1
MAZINGA,Plant,3,Ficus ingens,P1,nonepl,2,14,1,0,0,Rainy,0,0
MAZINGA,Plant,6,Ficus ingens,P2,nonepl,2,238,2,0,0,Rainy,0,0
MAZINGA,Plant,7,Ficus ingens,P2,nonepl,2,280,2,0,0,Rainy,0,0
MAZINGA,Plant,8,Ficus ingens,P2,,7,154,1,2,2,Dry,2,2
MAZINGA,Plant,9,Ficus ingens,P2,,12,84,1,3,3,Rainy,3,3
MAZINGA,Plant,12,Ficus ingens,P3,nonepl,1,392,1,1,1,Rainy,1,1
MAZINGA,Plant,13,Ficus ingens,P3,,12,322,1,4,4,Rainy,4+,4+
MAZINGA,Plant,14,Ficus ingens,P3,,6,126,1,6,6,Dry,4+,4+
MAZINGA,Plant,18,Ficus ingens,P4,,12,294,2,3,3,Rainy,3,3
MAZINGA,Plant,19,Ficus ingens,P4,,10,126,2,4,4,Dry,4+,4+
MAZINGA,Plant,20,Ficus ingens,P4,,2,14,2,0,0,Rainy,0,0
MAZINGA,Plant,24,Ficus ingens,P5,,4,84,1,0,0,Dry,0,0
MAZINGA,Plant,25,Ficus ingens,P5,,7,168,1,0,0,Dry,0,0
MAZINGA,Plant,26,Ficus ingens,P5,,7,56,2,1,1,Dry,1,1
MAZINGA,Plant,30,Commiphora africana,P6,drugpl,2,364,2,6,6,Rainy,4+,4+
MAZINGA,Plant,31,Commiphora africana,P6,plantpl,2,364,1,11,11,Rainy,4+,4+
MAZINGA,Plant,32,Ficus ingens,P6,nonepl,2,364,1,3,3,Rainy,3,3
MAZINGA,Plant,35,Ficus ingens,P7,nonepl,2,364,1,2,2,Rainy,2,2
MAZINGA,Plant,36,Ficus ingens,P7,,1,336,1,5,5,Rainy,4+,4+
MAZINGA,Plant,37,Ficus ingens,P7,nonepl,2,364,1,0,0,Rainy,0,0
MAZINGA,Plant,38,Ficus ingens,P7,,5,84,1,1,1,Dry,1,1
MAZINGA,Plant,41,Commiphora africana,P9,nonepl,2,294,1,2,2,Rainy,2,2
MAZINGA,Plant,42,Commiphora africana,P9,nonepl,2,294,1,1,1,Rainy,1,1
MAZINGA,Plant,43,Commiphora africana,P9,nonepl,2,294,1,6,6,Rainy,4+,4+
MAZINGA,Plant,44,Commiphora africana,P9,nonepl,2,294,1,0,0,Rainy,0,0
MAZINGA,Plant,45,Ficus ingens,P8,,11,182,1,0,0,Rainy,0,0
MAZINGA,Plant,46,Ficus ingens,P8,,1,266,1,1,1,Rainy,1,1
