Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,BCS,Dag,Status,Weight,Lactation,Visit,Date,FEC,TFEC,month,plant,farm,time,tx2,month2
MAZINGA,Plant,1,3.5,F,0,0,2,1.5,0,Borderline,35.4,NotLactating,1,30/01/2020,1700,1700,January,mtawa,P1,0,plantpl,1
MAZINGA,Plant,2,2,F,1,0,3,2,0,Borderline,21.8,NotLactating,1,30/01/2020,150,150,January,mtawa,P1,0,plantpl,1
MAZINGA,Plant,3,1,F,1,0,2,3,0,Healthy,23.1,NotLactating,1,30/01/2020,3350,3350,January,mtawa,P1,0,nonepl,1
MAZINGA,Plant,6,4.5,F,1,0,2,3,0,Healthy,25.9,Pregnant,1,30/01/2020,300,300,January,mtawa,P2,0,nonepl,1
MAZINGA,Plant,7,4.5,F,0,0,2,2,0,Healthy,36.7,Lactating,1,30/01/2020,1550,1550,January,mtawa,P2,0,nonepl,1
MAZINGA,Plant,8,3,F,1,0,3,2.5,0,Borderline,34.2,Pregnant,1,30/01/2020,550,550,January,mtawa,P2,0,plantpl,1
MAZINGA,Plant,9,1.5,F,0,0,2,2,0,Healthy,32.6,Lactating,1,27/08/2020,50,,August,mtawa,P2,0,nonepl,8
MAZINGA,Plant,12,3,F,0,0,1,2.5,0,Healthy,32.6,NotLactating,1,30/01/2020,4400,4400,January,mtawa,P3,0,nonepl,1
MAZINGA,Plant,13,3,F,0,0,3,2,0,Borderline,32.6,Lactating,1,30/01/2020,2950,2950,January,mtawa,P3,0,plantpl,1
MAZINGA,Plant,14,1,F,1,0,2,1.5,0,Borderline,20.4,NotLactating,1,30/01/2020,550,550,January,mtawa,P3,0,plantpl,1
MAZINGA,Plant,18,2,F,0,0,2,2,0,Healthy,21.8,Lactating,1,30/01/2020,1050,1050,January,mtawa,P4,0,nonepl,1
MAZINGA,Plant,19,4,F,0,0,3,2,0,Borderline,28.6,Lactating,1,30/01/2020,400,400,January,mtawa,P4,0,plantpl,1
MAZINGA,Plant,20,4.5,F,1,0,5,1,5,Sick,28.6,NotLactating,1,30/01/2020,,.,January,mtawa,P4,0,drugpl,1
MAZINGA,Plant,24,3,F,0,0,2,2.5,0,Healthy,28.6,Pregnant,1,30/01/2020,3600,3600,January,mtawa,P5,0,nonepl,1
MAZINGA,Plant,25,3.5,F,0,0,2,2,1,Healthy,36.7,NotLactating,1,30/01/2020,1400,1400,January,mtawa,P5,0,nonepl,1
MAZINGA,Plant,26,1.5,F,0,0,3,2,0,Borderline,19.1,Pregnant,1,30/01/2020,4000,4000,January,mtawa,P5,0,plantpl,1
MAZINGA,Plant,30,4,F,0,0,2,2,0,Healthy,32.6,Pregnant,1,27/02/2020,650,650,February,kakhobo,P6,0,nonepl,2
MAZINGA,Plant,31,4,F,0,0,3,1.5,0,Borderline,29.9,Pregnant,1,27/02/2020,9000,9100,February,kakhobo,P6,0,plantpl,2
MAZINGA,Plant,32,1,F,0,0,2,1.5,0,Borderline,20.4,NotLactating,1,27/02/2020,2000,2050,February,kakhobo,P6,0,plantpl,2
MAZINGA,Plant,35,3,F,0,0,3,2,0,Borderline,31.3,Lactating,1,27/02/2020,750,750,February,mtawa,P7,0,plantpl,2
MAZINGA,Plant,36,4,F,0,0,3,1.5,0,Borderline,29.9,Lactating,1,27/02/2020,150,150,February,mtawa,P7,0,plantpl,2
